Order_ID,Order_Date,Product,Category,Quantity,Price,City,Sales
2067,2026-05-14,Jeans,Clothing,4,2300,Noida,9200
2068,2026-05-16,Rice,Grocery,30,620,Prayagraj,18600
2069,2026-05-18,Headphones,Electronics,2,3500,Agra,7000
2070,2026-05-20,Football,Sports,8,1180,Jaipur,9440
2071,2026-05-22,Laptop,Electronics,2,59000,Kolkata,118000
2072,2026-05-24,Mouse,Electronics,5,650,Patna,3250
2073,2026-05-26,Keyboard,electronics,4,1550,Ranchi,6200
2074,2026-05-28,Chair,Furniture,2,4700,Bhopal,9400
2075,2026-05-30,Desk,Furniture,4,7300,Indore,29200
2076,2026-06-01,T-Shirt,Clothing,6,880,Pune,5280
2077,2026-06-03,Jeans,Clothing,3,2400,Nagpur,7200
2078,2026-06-05,Rice,Grocery,22,660,Hyderabad,14520
2079,2026-06-07,Headphones,Electronics,4,3100,Bengaluru,12400
2080,2026-06-09,Football,Sports,5,1350,Chennai,6750
2081,2026-06-11,Laptop,Electronics,1,68000,Delhi,68000
2082,2026-06-13,Mouse,Electronics,11,520,Mumbai,5720
2083,2026-06-15,Keyboard,Electronics,5,1400,Lucknow,7000
2084,2026-06-17,Chair,Furniture,3,4300,Gorakhpur,12900
2085,2026-06-19,Desk,Furniture,2,8200,Kanpur,16400
2086,2026-06-21,T-Shirt,Clothing,10,790,Varanasi,7900
2087,2026-06-23,Jeans,Clothing,5,2150,Noida,10750
2088,2026-06-25,Rice,Grocery,16,710,Prayagraj,11360
2089,2026-06-27,Headphones,Electronics,3,3300,Agra,9900
2090,2026-06-29,Football,Sports,6,1280,Jaipur,7680
2091,2026-07-01,Laptop,Electronics,2,61000,Kolkata,122000
2092,2026-07-03,Mouse,Electronics,7,570,Patna,3990
2093,2026-07-05,Keyboard,Electronics,3,1500,Ranchi,4500
2094,2026-07-07,Chair,Furniture,4,3900,Bhopal,15600
2095,2026-07-09,Desk,Furniture,3,7600,Indore,22800
2096,2026-07-11,T-Shirt,Clothing,8,860,Pune,6880
2097,2026-07-13,Jeans,Clothing,4,2250,Nagpur,9000
2098,2026-07-15,Rice,Grocery,20,675,Hyderabad,13500
2099,2026-07-17,Headphones,Electronics,2,3600,Bengaluru,7200
2100,2026-07-19,Football,Sports,9,1200,Chennai,10800
